Issued date,Account ID,Bill to name,Billing Address,Billing City,Billing State,Billing Zip,Customer Name,Sales Rep,Product ID,Product,Sales order Number,SO Status,Sales person,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,Sales Order Custom Field 6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product description,Sales Order Item Description,Soitem type,BOL,Carrier name,Company id,Company name,Ship status,SO Number,Status ID,Account ID,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total cost,Sales Order Line Item
01-06-2025,874,Aimrok Nashville,4043 Nolensville Pike,Nashville,Tennessee,37211,Aimrok Nashville,Zalak Zaveri,11,Shipping,5575,Fulfilled,Jared,,,,,,,10031,30972,Shipping,712,Shipping,Shipping,Shipping,96447,LTL Freight Carrier,1,CWL Brands,Shipped,5575,30,874,JL,1.00,$0.0000,1.00,$470.00,$470.00,$0.05,4.00
01-06-2025,874,Aimrok Nashville,4043 Nolensville Pike,Nashville,Tennessee,37211,Aimrok Nashville,Zalak Zaveri,11,Shipping,5575,Fulfilled,Jared,,,,,,,10031,33402,Shipping,712,Shipping,Shipping Tracking: https://www.saia.com/track,Shipping,96447,LTL Freight Carrier,1,CWL Brands,Shipped,5575,30,874,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,5.00
01-06-2025,439,Northland Vapor LLC,"4225 38th St S, Shops AB",Fargo,North Dakota,58104,Northland Vapor LLC,,74,CC Processing,5825,Fulfilled,DerekW,,,,,,,10843,33145,CC Processing,282,Credit Card Processing Fee,Credit Card Processing Fee,Sale,96003,UPS,1,CWL Brands,Shipped,5825,30,439,DW,1.00,$0.0000,1.00,$20.00,$20.00,$0.00,3.00
01-06-2025,439,Northland Vapor LLC,"4225 38th St S, Shops AB",Fargo,North Dakota,58104,Northland Vapor LLC,,81,FG- MC12 Focus+ Flow,5825,Fulfilled,DerekW,,,,,,,10843,33142,FG- MC12 Focus+ Flow,282,MC12 Focus + Flow,MC12 Focus + Flow,Sale,96003,UPS,1,CWL Brands,Shipped,5825,30,439,DW,1.00,$576.0000,1.00,$612.00,$612.00,$175.11,1.00
01-06-2025,439,Northland Vapor LLC,"4225 38th St S, Shops AB",Fargo,North Dakota,58104,Northland Vapor LLC,,132,FG- MC8 release+relax,5825,Fulfilled,DerekW,,,,,,,10843,33143,FG- MC8 release+relax,282,MC8 release+relax,MC8 release+relax,Sale,96003,UPS,1,CWL Brands,Shipped,5825,30,439,DW,1.00,$432.0000,1.00,$432.00,$432.00,$109.95,2.00
01-06-2025,439,Northland Vapor LLC,"4225 38th St S, Shops AB",Fargo,North Dakota,58104,Northland Vapor LLC,,11,Shipping,5825,Fulfilled,DerekW,,,,,,,10843,33235,Shipping,282,Shipping,Shipping Tracking: 1Z90V7160324736195,Shipping,96003,UPS,1,CWL Brands,Shipped,5825,30,439,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-06-2025,16,Exclusive Distributors,"4508 Bibb Blvd
Suite B4",Tucker,Georgia,30084,Exclusive Distributors,,81,FG- MC12 Focus+ Flow,5857,Fulfilled,Zalak,,,,,,,10873,33227,FG- MC12 Focus+ Flow,2,MC12 Focus + Flow,MC12 Focus + Flow,Sale,96164,UPS,1,CWL Brands,Shipped,5857,30,16,ED,4.00,$576.0000,1.00,$432.00,"$1,728.00",$700.43,1.00
01-06-2025,16,Exclusive Distributors,"4508 Bibb Blvd
Suite B4",Tucker,Georgia,30084,Exclusive Distributors,,11,Shipping,5857,Fulfilled,Zalak,,,,,,,10873,33228,Shipping,2,Shipping,Shipping,Shipping,96164,UPS,1,CWL Brands,Shipped,5857,30,16,ED,1.00,$0.0000,1.00,$120.00,$120.00,$0.05,2.00
01-06-2025,16,Exclusive Distributors,"4508 Bibb Blvd
Suite B4",Tucker,Georgia,30084,Exclusive Distributors,,11,Shipping,5857,Fulfilled,Zalak,,,,,,,10873,33234,Shipping,2,Shipping,Shipping Tracking: 1Z90V7160329689755,Shipping,96164,UPS,1,CWL Brands,Shipped,5857,30,16,ED,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-06-2025,84,Ali Baba's Smoke and Vape,"5808 Summitview AVE
Suite C",Yakima,Washington,98908,Ali Baba's Smoke and Vape,Ben Wallner,74,CC Processing,5853,Fulfilled,BrandonG,,,,,,,10869,33225,CC Processing,17,Credit Card Processing Fee,Credit Card Processing Fee,Sale,96348,UPS,1,CWL Brands,Shipped,5853,30,84,BG,1.00,$0.0000,1.00,$54.70,$54.70,$0.00,13.00
